country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,population,continent,consumo
Afghanistan,0,0,0,0.0,34.660.000,Asia,low
Albania,89,132,54,4.9,2.876.000,Europe,middle
Algeria,25,0,14,0.7,40.061.000,Africa,low
Andorra,245,138,312,12.4,77.281.000,Europe,high
Angola,217,57,45,5.9,28.081.000,Africa,high
Antigua & Barbuda,102,128,45,4.9,86.295,North America,middle
Argentina,193,25,221,8.3,43.085.000,South America,high
Armenia,21,179,11,3.8,2.925.000,Europe,low
Australia,261,72,212,10.4,24.013.000,Oceania,high
Austria,279,75,191,9.7,8.725.111,Europe,high
Azerbaijan,21,46,5,1.3,9.654.900,Europe,low
Bahamas,122,176,51,6.3,368.390,North America,middle
Bahrain,42,63,7,2.0,1.359.800,Asia,low
Bangladesh,0,0,0,0.0,159.145.000,Asia,low
Barbados,143,173,36,6.3,285.000,North America,middle
Belarus,142,373,42,14.4,9.485.300,Europe,middle
Belgium,295,84,212,10.5,11.250.659,Europe,high
Belize,263,114,8,6.8,368.310,North America,high
Benin,34,4,13,1.1,10.315.244,Africa,low
Bhutan,23,0,0,0.4,765.650,Asia,low
Bolivia,167,41,8,3.8,11.410.651,South America,high
Bosnia-Herzegovina,76,173,8,4.6,3.791.622,Europe,middle
Botswana,173,35,35,5.4,2.070.984,Africa,high
Brazil,245,145,16,7.2,207.660.929,South America,high
Brunei,31,2,1,0.6,393.372,Asia,low
Bulgaria,231,252,94,10.3,7.202.198,Europe,high
Burkina Faso,25,7,7,4.3,18.450.494,Africa,low
Burundi,88,0,0,6.3,9.823.827,Africa,middle
Cote d'Ivoire,37,1,7,4.0,22.671.331,Africa,low
Cabo Verde,144,56,16,4.0,524.833,Africa,middle
Cambodia,57,65,1,2.2,15.405.157,Asia,low
Cameroon,147,1,4,5.8,23.344.000,Africa,middle
Canada,240,122,100,8.2,35.851.774,North America,high
Central African Republic,17,2,1,1.8,4.900.000,Africa,low
Chad,15,1,1,0.4,14.037.000,Africa,low
