,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,population,continent,consumo
0,Afghanistan,0,0,0,0.0,34.660.000,Asia,low
1,Albania,89,132,54,4.9,2.876.000,Europe,middle
2,Algeria,25,0,14,0.7,40.061.000,Africa,low
3,Andorra,245,138,312,12.4,77.281.000,Europe,high
4,Angola,217,57,45,5.9,28.081.000,Africa,high
5,Antigua & Barbuda,102,128,45,4.9,86.295,North America,middle
6,Argentina,193,25,221,8.3,43.085.000,South America,high
7,Armenia,21,179,11,3.8,2.925.000,Europe,low
8,Australia,261,72,212,10.4,24.013.000,Oceania,high
9,Austria,279,75,191,9.7,8.725.111,Europe,high
10,Azerbaijan,21,46,5,1.3,9.654.900,Europe,low
11,Bahamas,122,176,51,6.3,368.390,North America,middle
12,Bahrain,42,63,7,2.0,1.359.800,Asia,low
13,Bangladesh,0,0,0,0.0,159.145.000,Asia,low
14,Barbados,143,173,36,6.3,285.000,North America,middle
15,Belarus,142,373,42,14.4,9.485.300,Europe,middle
16,Belgium,295,84,212,10.5,11.250.659,Europe,high
17,Belize,263,114,8,6.8,368.310,North America,high
18,Benin,34,4,13,1.1,10.315.244,Africa,low
19,Bhutan,23,0,0,0.4,765.650,Asia,low
20,Bolivia,167,41,8,3.8,11.410.651,South America,high
21,Bosnia-Herzegovina,76,173,8,4.6,3.791.622,Europe,middle
22,Botswana,173,35,35,5.4,2.070.984,Africa,high
23,Brazil,245,145,16,7.2,207.660.929,South America,high
24,Brunei,31,2,1,0.6,393.372,Asia,low
25,Bulgaria,231,252,94,10.3,7.202.198,Europe,high
26,Burkina Faso,25,7,7,4.3,18.450.494,Africa,low
27,Burundi,88,0,0,6.3,9.823.827,Africa,middle
28,Cote d'Ivoire,37,1,7,4.0,22.671.331,Africa,low
29,Cabo Verde,144,56,16,4.0,524.833,Africa,middle
30,Cambodia,57,65,1,2.2,15.405.157,Asia,low
31,Cameroon,147,1,4,5.8,23.344.000,Africa,middle
32,Canada,240,122,100,8.2,35.851.774,North America,high
33,Central African Republic,17,2,1,1.8,4.900.000,Africa,low
34,Chad,15,1,1,0.4,14.037.000,Africa,low
35,Chile,130,124,172,7.6,18.006.407,South America,middle
36,China,79,192,8,5.0,1.372.470.000,Asia,middle
37,Colombia,159,76,3,4.2,48.336.300,South America,high
38,Comoros,1,3,1,0.1,784.745,Africa,low
39,Congo,76,1,9,1.7,77.267.000,Africa,middle
40,Cook Islands,0,254,74,5.9,14.974,Oceania,low
41,Costa Rica,149,87,11,4.4,4.773.130,North America,middle
42,Croatia,230,87,254,10.2,4.225.316,Europe,high
43,Cuba,93,137,5,4.2,11.238.317,North America,middle
44,Cyprus,192,154,113,8.2,858.000,Europe,high
45,Czech Republic,361,170,134,11.8,10.537.818,Europe,high
46,North Korea,0,0,0,0.0,25.155.000,Asia,low
47,DR Congo,32,3,1,2.3,4.620.000,Africa,low
