date,uf,city,title,coment,answer,time_answer,coment_client_text,time_client,resolved,business,assessment
2021-07-27 00:45:00,AL,Maceió,Quero fazer acordo,Fiz uma compra em seguida acabei fechando e não consegui pagar o boleto gostaria de fazer um acordo para sanar o problema,"Olá Alame,Enviamos as orientações de seu caso no seu e-mail cadastrado, dá uma olhadinha lá. Solicitamos que a avaliação seja realizada somente após a conclusão, para que não seja encerrado automaticamente o atendimento.Nos preocupamos com a satisfação dos nossos clientes e estamos sempre à disposição.Caso queira, a nossa Central de Atendimento está disponível no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00, juntamente com o site/app Parceiro Bees.Boas vendas!Abraços,Time AmBev.",2021-07-29 13:06:00,Muito satisfatório,2021-07-29 13:21:00,Resolvido,Sim,8
2021-07-26 16:52:00,SP,São Paulo,Estou sendo perseguido pela logística do cdd de suzano pela coordenação fe entregas,Ha oito meses estou sendo perseguido pela logística do cdd de suzano...espero que a empresa abra uma investigação interna e atenda o cliente da forma correta e nao venha alegando que bao está atendendo a regiao que esta sim todos comercios em volta do meu recebem produtos normamente.,"Olá Alexandre,Informamos que encaminhamos o seu caso ao time de logística e tivemos a devolutiva que no momento a sua região está temporariamente sem atendimento AmBev, estamos trabalhando para normalizar a situação. Agradecemos a compreensão.Conte também com nosso site/app Parceiro Ambev ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Boas vendas!Abraços,Time AmBev.",2021-07-27 11:27:00,Pessimo,2021-07-27 11:30:00,Não resolvido,Não,0
2021-07-26 16:27:00,RJ,Armação dos Búzios,Código cliente,"Realizei o cadastro no app e já faz dias, não recebi o código do cliente para poder acessar a plataforma e realizar pedidos. Já liguei para o 0800 mas fui informada que chegaria em 48hrs e se passou bem mais que isso e não recebi o código. Sem retorno algum!","Olá Adriana,Conforme conversamos, o sistema não havia computado seu cadastro, sendo assim um de nossos representantes de vendas foi até seu estabelecimento para a realização do mesmo. Ficamos felizes em auxiliar na resolução de seu caso e agradecemos a parceria.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-28 13:28:00,Fui muito bem atendida e orientada. O representante logo de imediato resolveu meu problema. Parabéns pelo atendimento de vocês e atenção ao cliente.,2021-07-28 17:39:00,Resolvido,Sim,10
2021-07-26 15:15:00,SP,Cotia,Não aumentam prazo do boleto,"Deixo aqui, minha grande insatisfação com AMBEV com pequeno comerciante. Estou há 6 meses pedindo aumento de prazo para pagamento com boleto para 7 dias. Esta ficando impossível compra produtos da AMBEV a vista. Vocês faz um monte de marketing na TV e rede sociais falando que pensa no pequeno empresário, porem, não é isso que acontece na pratica. Como referencia seus correntes pensa no pequeno empresário e fornece condições de pagamento da seguinte forma:- Coca-Cola 10ddl- Grupo Petrópolis 15ddl- Brasil KiriN 15ddl","Olá Tadeu,Informamos que encaminhamos seu caso ao time de financeiro e conforme resposta do protocolo 9558386, o aumento de prazo não pode ser concedido no momento devido a regras da cia. É imprescindível que aguarde o prazo de 90 dias para uma nova solicitação.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-27 11:04:00,"Vocês não trabalham com verdade, meu score no Serasa está próximo do 970 pontos. Significa que pagos todos os meus boletos em dia. Vocês precisam rever o conceito de análise de crédito. E uma vergonha esse tipo de retorno. Pagos todos seu boletos em dia! (Boleto para 1 dia). Vergonha",2021-07-27 15:59:00,Não resolvido,Não,0
2021-07-24 23:01:00,SC,Camboriú,Equipamento,Aguardando equipamento para meu comercio desde que abri e a venda só aumenta gelando nas geladeiras dos demais produtos deles.Informaram que não tem geladeira a maior empresa de bebidas não ter equipamento dai fica dificil acreditar.,"Olá, William.Informamos que sua solicitação foi analisada junto ao time de marketing, porém devido à pandemia estamos sem estoque de refrigeradores no momento e sem prazo para reabastecimento. Solicitamos que refaça seu pedido daqui a 90 dias para que uma nova análise seja realizada.Agradecemos a sua compreensão.Abraços,Time AmBev.",2021-07-26 12:13:00,9,2021-07-27 23:45:00,Não resolvido,Não,0
2021-07-23 18:17:00,AL,Arapiraca,o que é condigo do cliente? não me enviaram,Fiz meu cadastro mas a dias que não consigo acessar para fazer pedidos pois confirmaram meu cadastro mas não me enviaram esse codigo do consumidor. E não consegui resolver por ligação.Meu CNPJ 37423229000149,"Olá Ayanne,Informamos que encaminhamos seu caso ao time de Parceiro Bees e seu código de cliente foi enviado por e-mail.Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-27 10:40:00,.,2021-07-27 23:20:00,Resolvido,Sim,9
2021-07-22 21:02:00,SP,São Paulo,Sem estrutura,"Tenho dois restaurantes na cidade do sorocaba, os maiores da cidade, consumo na media de 20 caixas semanais e não consigo comprar mais pq a empresa não tem se quer uma geladeira para por no PDV, não possui um material de merchandising, nem canal de atendimento pessoal possui para atender o cliente, tudo eu msm que faço, quando preciso de algum suporte nada se resolve, é inadmissível uma empresa desse porte não ter estrutura nem para atender um cliente, estão perdendo dinheiro e eu a paciência, um dos meus cnpj é 29.750.065/0001-36","Olá, Douglas.Informamos que sua solicitação foi analisada junto ao time de marketing, porém devido à pandemia estamos sem estoque de refrigeradores no momento e sem prazo para reabastecimento. Solicitamos que refaça seu pedido daqui a 90 dias para que uma nova análise seja realizada.Agradecemos a sua compreensão.Abraços,Time AmBev.",2021-07-23 11:34:00,"não consigo entender oq a pandemia tem a ver com a entrega de refrigerador ou com eu não conseguir fazer mais pedidos e não obter material de merchandising no PDV além de uma falta de estrutura da empresa, se existe demanda, existem 14 milhões de desempregados no pais buscando oportunidade, contratem mais pessoas !",2021-07-23 12:35:00,Não resolvido,Não,0
2021-07-21 18:22:00,ES,Vitória,Sem mercadoria,"Ha duas semanas estou fazendoPedido pra me entregarem as quartas feiras e não estão me entregando meus pedidos, estou ficando semMercadoria pra trabalhar durante a semana e tenho q esperar a entrega de sábado. Tenho um bar e distribuidora, fica difícil trabalhar sem cerveja.","Olá Laiany,Verifiquei seu cadastro e identifiquei que nos dias 17/07 e 21/07 seus pedidos foram entregues com sucesso conforme disponibilidade do estoque, somente no dia 14/07 que houve um problema logístico ao qual sua entrega não foi realizada, quanto a isso sentimos muito e ficamos felizes que não ocorreu o mesmo problema novamente. Agradecemos a parceria.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-22 11:05:00,"Gostei, me mandaram a mercadoria do outro dia após minha reclamação. Obrigada",2021-07-22 14:54:00,Resolvido,Sim,10
2021-07-20 11:48:00,MG,Pirapetinga,As minhas compras estão como não entregue,"Meus pedidos na aplicativo da AmBev não mudam de status aceitei o desafio da Bud comprei as cx de cerveja necessárias para ganhar a bonificação e no sistema simplesmente consta como saiu para entrega a quase duas semanas. Sendo assim eu não ganho os pontos e muito menos a bonificação pedido 9016662849. Nessa situação existem outros pedidos. Agora o pedido número 9015341349, pasmem eu já recebi a quase um mês paguei a vista em dinheiro e no sistema apareceu como recusado. Gostaria do pronunciamento da empresa quanto a isso. Mas está muito estranho essas coisas.","Olá Charles,Conforme nos informou seu caso foi solucionado com sucesso via WhatsApp. Ficamos felizes em auxiliar na resolução e agradecemos a parceria.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-21 10:59:00,Nota 10,2021-07-21 11:03:00,Resolvido,Sim,10
2021-07-20 09:14:00,SP,São José do Rio Preto,Compra bloqueada,"Estamos tendo problemas constantes com a Bevale distribuidora da AmBev, direto vetam a compra pq temos boleto a vencer.","Olá Patricia,Informamos que encaminhamos seu caso ao time da revenda Bevale e recebemos a devolutiva que irão acompanhar suas entregas para que imprevistos não ocorram.Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-21 11:02:00,"Deram um retorno, mas vamos ver como ficará na prática",2021-07-21 20:01:00,Resolvido,Sim,8
