date,uf,city,title,coment,answer,time_answer,coment_client_text,time_client,resolved,business,assessment
2021-07-05 21:09:00,MG,Belo Horizonte,Nunca tem produtos,Já tem 4 semanas que não recebi mercadoria só informa que não tem mais os outros estabelecimento todos recebem mercadoria acho muito estranho alguns recebe e outros não falta de ética da empresa e dos vendedores,"Olá!Mateus,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-07-06 09:32:00,Simplesmente uma ligação em que nada foi resolvido infelizmente novamente,2021-07-06 22:00:00,Não resolvido,Não,0
2021-06-30 21:10:00,SP,Osasco,cadastro inativo,"sou revendedor da coca desde 2010. em 10 de maio tive que realizar um desmanche de sociedade e consequentemente a troca de nome fantasia da empresa. desde então a femsa me bloqueou para compras, segundo eles a receita federal nao autorizava as vendas. sendo que todas as outras empresas consegui comprar normalmente, já que a troca de sociedade e nome fantasia, durou apenas 8 dias. desde o dia 19 de maio meus dados estão todos corretos, e desde então ainda nao consigui comprar da femsa coca. tenho uma geladeira deles aqui ligada vazia, desde então.tentativas de atualização de cadastro: inúmeras vezes via telefone antes do dia 04 de junho, dia 04 de junho falei com leandro, protocolo 887001, nada resolvido. dia 10 de junho falei com ketlyn protocolo 914557 nada resolvido, inclusive encerrou sem explicacoes, dia 10 de junho falei com andressa protocolo 914653 prometeu 5 dias e nada, dia 11 de junho falei com leandro, protocolo 922299,nada resolvido. dia 14 junho falei com beatriz, protocolo 937217, me indicou para mandar fotos via e-mail, (boasvindas@kof.com.mx) fiz isso e nada resolvido, nem com ela nem com e-mail. dia 21 de junho falei com izamara, protocolo 1009695, encerrou a conversa sem resolver nem dar prazo. dia 24 de junho falei com paula, protocolo 1072804, reavaliou nova tratativa, mais nada resolveu. dia 25 de junho falei com livia, protocolo 1090587, quiz me convencer em abrir outro cadastro, mais nao reativou o meu. dia 29 de junho, falei com victoria, protocolo 1184275, prometeu uma cobranca para area responsável, o que ate agora nao deu em nada. dia 25 de junho falei direto com o supervisor robson. me prometeu passar para area responsavel, o que nao adiantou ou nao o fez. dia 29 de junho voltei a falar com o supervisor robson, esse por vez me passou outro contato para tentar. dia 29 de junho falei com rogerio executivo de vendas da regiao segundo robson. rogerio me falou que hoje dia 30 de junho passaria aqui para resolver. hoje as 16:26 mandei uma mensagem para rogerio, para ver se ele viria ou teria esquecido. pois bem, como todos da coca femsa, nao me deu resposta. falei sozinho com o celular. povo mediocre.empresa.cnpj: 12.594.962/0001-03IE: 492.077.764.116quero pedir a qualquer um da femsa que possa me comprovar o que de errado tem com estes dados. pelo contrario reativem o cadastro, ou venha buscar a geladeira de vcs.","Olá!Arylson,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-07-01 11:49:00,"tudo certo. graças a Deus. nao gostaria de ter que expor estes assuntos. mais pelo bem de todos, ja esta tudo certo. obrigado",2021-07-05 21:17:00,Resolvido,Sim,10
2021-06-28 14:04:00,MG,Belo Horizonte,Não Recebo Produtos,"Extremamente desgastante a relação comercial, vários concorrentes vêm recebendo o produto Heineken600ml retornável e não recebo nada , as respostas são falhas e repetidas, "" ruptura no estoque , deposito diferente, escalonamento de clientes, baixa oferta "" certo é que não recebo nada e meus concorrentes tem recebido, matricula 1700449239 Benjamin Antônio Martins","Olá!André,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-29 14:23:00,"Olá!André,Inicialmente, gostaríamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site do Reclame Aqui, nos empenhamos em atendê-lo prontamente!Conforme retorno da nossa Equipe Comercial, soubemos que a visita em seu estabelecimento foi realizada no dia 01/07/2021, para esclarecer a situação sobre a distribuição do produto Heineken.Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!",2021-07-07 17:10:00,Resolvido,Sim,10
2021-06-25 10:27:00,SP,Jacareí,Péssimo atendimento,Meu cadastro estava tudo certinho agora quando pedi pra alterar endereço aí descobri oque e ser cliente coca cola um monte de burocracia uma empresa de tal porte que fala que atende deis de pequenos a grandes empresas tudo mentira demora no atendimento burocracia pra tudo meu CNPJ 28539868000183 não devo nada estou com o cadastro bloqueado alegaram que não compro se estava comprando agora pede isso pede aquilo. O único que tenta fazer algo e o vendedor que sempre dá toda a estrutura agora a parte comercial e a central de atendimento são péssimo péssimo da vergonha de ser cliente coca cola. Só nome,"Olá!Fabio,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-25 14:29:00,Até o momento não tive retorno da empresa que era até quinta feira para reativação do meu cadastro a coca cola Brasil já foi um empresa de grande porte e compromisso agora deixa só a desejar mesmo,2021-07-02 23:05:00,Resolvido,Sim,10
2021-06-24 13:15:00,MG,Ribeirão das Neves,A coca cola esta cobrando o pagamento de um boleto que já está pago,A coca cola está me cobrando um boleto referente ao vencimento em 15/06 que já está pago. Tento ligar pra eles mas sem sucesso. Nenhum canal me atende para resolver o engano,"Olá!Jessica,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atenta aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-24 14:26:00,"Olá!Jessica,Inicialmente, gostaríamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site do Reclame Aqui, nos empenhamos em atendê-la prontamente e estamos felizes por resolver sua manifestação!Soubemos que nosso time de Contas a Receber esteve em contato com você (29.06.2021) onde foi informado que a Assessoria de cobrança André de Sá Advogados é prestador de serviços da Companhia e que estamos aguardando o repasse do valor para sequenciar a liquidação e baixa da referida nota fiscal.Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo! Adoraríamos receber sua avaliação!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA",2021-06-30 17:37:00,Resolvido,Sim,9
2021-06-24 08:59:00,MG,Belo Horizonte,Serviço mau prestado,"Eu fico boba como umas empresas grandes como a coca cola, tem um mau atendimento tão grande, deve ser pq se acha grande e acha que por isso pode atender de qualquer forma, tem tanta fama e não sabe treinar seus funcionários bem, tenho uma distribuidora onde o vendedor na minha opinião é péssimo e agora o gerente comercial tá indo pro mesmo caminho, sempre que tento comprar cerveja com o vendedor não tem. Antes ainda tinha um gerente comercial que resolvia o de agora nem responde mais, vc imagina que quando entra em contato com o gerente irá ter um atendimento diferenciado né pois deve ser mais preparado kkk isso na coca cola não existe. Coca cola as empresas são medidas pela capacidade dos seus funcionários se presta um mau atendimento pra quem está comprando um imagino que eles sejam pois nsão o espelho da empresa. Ensinem seus funcionários a não ter favoritos o pequeno pode se tornar grande !","Olá!Debora,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atenta aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-24 12:22:00,"Nesse caso acredito que nao precisaram falar nada, o vendedor mesmo mudou a postura",2021-06-25 12:32:00,Resolvido,Sim,10
2021-06-22 16:11:00,MG,Belo Horizonte,Venda casada,"Tenho um bar e não querem vender a cerveja Heineken. Somente me atenderão se comprar outros produtos, caracterizando venda casada, em desconformidade com o Código de Defesa do Consumidor.","Olá!Architon,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-23 13:57:00,"Olá!Architon.Inicialmente, gostaríamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site do Reclame Aqui, nos empenhamos em atendê-lo prontamente!Conforme retorno da nossa Equipe Comercial, soubemos que o responsável esteve em contato com você esclarecendo toda a situação. Também confirmamos que você recebeu o produto desejado em sua ultima entrega.Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!",2021-06-28 16:33:00,Resolvido,Sim,8
2021-06-21 17:37:00,MG,Belo Horizonte,NAO CONSIGO FAZER CADASTRO PRA REVENDER OS PRODUTOS,"Não consigo fazer o cadastro da minha empresa para revendedor da Coca-Cola, já entrei com contato com o vendedor das região do meu estabelecimento e mesmo disse que demora mais de 30 dias para fazer um cadastro de revenda dos produtos. Preciso muito fazer compras dos produtos e não houve um pequeno descasso do vendedor, que quando entreguei em contato não deu muita atenção, entrei no site para ver ser consigo aprovação do cadastro. Fico muito triste e estarrecida por a empresa fazer indiferença dos pequenos comerciantes. Espero que meu problema seja resolvido logo e consiga fazer o cadastro para adquirir os produtos.","Olá!Amilton,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-22 12:06:00,"Olá!Amilton,Inicialmente, gostariamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site Reclame Aqui, nos empenhamos em atendê-lo prontamente e estamos felizes por resolver sua manifestação!A nossa Central de Cadastro foi acionada e já concluiu a sua matrícula! Informamos que o seu atendimento ocorrerá todas às Terças-Feiras, através do nosso time Comercial. É muito importante para nós tê-lo como parceiro!Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo! Adoraríamos receber sua avaliação!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!",2021-06-25 15:28:00,Resolvido,Sim,10
2021-06-21 12:29:00,MG,Belo Horizonte,Falta de compromisso de vendedor e supervisor,"Estou na luta para mudar o comodato de um freezer a mais de 2 meses com a coca, cada hora uma história diferente, além do vendedor que manda produtos não solicitados na nota. Fiz a reclamação junto a central mas o supervisor que me ligou era pior que o vendedor e defendia os erros dele como se fosse o mais importante, além de ter se recusado a comparecer a loja para esclarecer os problemas.","Olá!Flaviano,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-21 15:08:00,"Olá!Flaviano,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-21 15:08:00,Resolvido,Sim,10
2021-06-20 22:08:00,SP,São José dos Campos,Cadastro,"Mandei meus dados para cadastro a mais de 2 meses, mais de 1 vez ninguém entra em contato para finalizar","Olá!Lucas,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-21 11:42:00,"Olá!Lucas,Inicialmente, gostariamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site Reclame Aqui, nos empenhamos em atendê-lo prontamente e estamos felizes por resolver sua manifestação!A nossa Central de Cadastro foi acionada e já concluiu a sua matrícula! Informamos que o seu atendimento ocorrerá todas às Sextas-Feiras, através do nosso time Comercial. É muito importante para nós tê-lo como parceiro!Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo! Adoraríamos receber sua avaliação!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!",2021-06-25 15:42:00,Resolvido,Sim,10
