DATA,FORNECEDOR,DESTINO,ESTADO/MUNICIPIO,TIPO,QUANTIDADE,VALOR/R$,DESTINATARIO,UF,DATA DE ENTREGA,ESPERA/DIA
2020-05-21 00:00:00,VYAIRE,Acre,ESTADO,UTI,20,1200000.0,Secretaria Estadual de Saúde,AC,2020-05-23 00:00:00,2
2020-05-21 00:00:00,MAGNAMED,Acre,ESTADO,TRANSPORTE,10,482900.0,Secretaria Estadual de Saúde,AC,2020-05-23 00:00:00,2
2020-06-16 00:00:00,VYAIRE,Acre,MUNICIPIO,UTI,5,300000.0,Secretaria Municipal de Saúde (Sena Madureira),AC,2020-06-24 00:00:00,8
2020-06-16 00:00:00,MAGNAMED,Acre,MUNICIPIO,TRANSPORTE,5,241450.0,Secretaria Municipal de Saúde (Sena Madureira),AC,2020-06-24 00:00:00,8
2020-07-07 00:00:00,VYAIRE,Acre,MUNICIPIO,UTI,10,600000.0,Cruzeiro do Sul - Hoaspital Regional de Juruá,AC,2020-07-19 00:00:00,12
2021-01-28 00:00:00,VYAIRE,Acre,ESTADO,UTI,20,1200000.0,SES ACRE,AC,2021-01-29 00:00:00,1
2021-02-18 00:00:00,KTK,Acre,ESTADO,TRANSPORTE,20,400000.0,SECRETARIA ESTADUAL DE SAUDE,AC,2021-02-22 00:00:00,4
2021-02-18 00:00:00,VYAIRE,Acre,ESTADO,UTI,20,1200000.0,SECRETARIA ESTADUAL DE SAUDE,AC,2021-02-22 00:00:00,4
2020-05-22 00:00:00,KTK,Alagoas,ESTADO,UTI,15,900000.0,Secretaria Estadual de Saúde,AL,2020-05-24 00:00:00,2
2020-05-22 00:00:00,MAGNAMED,Alagoas,ESTADO,TRANSPORTE,15,724350.0,Secretaria Estadual de Saúde,AL,2020-05-24 00:00:00,2
2020-04-06 00:00:00,VYAIRE,Alagoas,ESTADO,UTI,20,1200000.0,Secretaria Estadual de Saúde,AL,2020-06-06 00:00:00,61
2020-04-06 00:00:00,MAGNAMED,Alagoas,ESTADO,TRANSPORTE,17,820930.0,Secretaria Estadual de Saúde,AL,2020-06-06 00:00:00,61
2020-04-06 00:00:00,MAGNAMED,Alagoas,ESTADO,TRANSPORTE,3,144870.0,Secretaria Estadual de Saúde,AL,2020-06-06 00:00:00,61
2020-06-16 00:00:00,MAGNAMED,Alagoas,ESTADO,TRANSPORTE,50,2414500.0,Secretaria Estadual de Saúde,AL,2020-06-18 00:00:00,2
2020-06-26 00:00:00,VYAIRE,Alagoas,MUNICIPIO,UTI,1,60000.0,Secretaria Municipal de Saúde (MAJOR IZIDORO),AL,2020-06-30 00:00:00,4
2020-06-26 00:00:00,VYAIRE,Alagoas,MUNICIPIO,UTI,1,60000.0,Secretaria Municipal de Saúde (MARIBONDO) ,AL,2020-06-30 00:00:00,4
2020-06-26 00:00:00,VYAIRE,Alagoas,MUNICIPIO,UTI,1,60000.0,Secretaria Municipal de Saúde (PASSO DO CAMARAGIBE),AL,2020-06-30 00:00:00,4
