DATA,FORNECEDOR,DESTINO,ESTADO/MUNICIPIO,TIPO,QUANTIDADE,valor_(r$),DESTINATARIO,UF,DATA DE ENTREGA
2020-08-21,MAGNAMED,Espirito Santo,MUNICIPIO,TRANSPORTE,1,4829000.0,SMS DE SANTA TERESA,ES,2020-08-27T00:00:00.000-03:00
2020-06-12,MAGNAMED,Goias,MUNICIPIO,TRANSPORTE,2,9658000.0,SECRETARIA MUNICIPAL DE SAÚDE (ITUMBIARIA),GO,2020-06-15T00:00:00.000-03:00
2021-03-04,KTK,Goias,MUNICIPIO,TRANSPORTE,6,1.2E7,HOSPITAL MUNICIPAL DE MARZAGAO,GO,2021-03-07T00:00:00.000-03:00
2021-02-18,KTK,Maranhão,MUNICIPIO,TRANSPORTE,1,2000000.0,UNIDADE MISTA DRA NEMERCIA DIAS PINHEIRO,MA,2021-02-23T00:00:00.000-03:00
2020-07-10,MAGNAMED,Para,ESTADO,TRANSPORTE,3,1.4487E7,BELÉM - SECRETARIA ESTADUAL DE SAÚDE,PA,2020-07-16T00:00:00.000-03:00
2020-12-23,MAGNAMED,Pernambuco,MUNICIPIO,TRANSPORTE,2,9658000.0,HOSPITAL DO TRICENTENARIO,PE,2020-12-28T00:00:00.000-02:00
2020-09-04,KTK,Rio Grande Do Sul,MUNICIPIO,TRANSPORTE,2,4000000.0,SECR. MUN. DE SAUDE DE CACHOEIRINHA,RS,2020-09-10T00:00:00.000-03:00
2020-12-18,VYAIRE/INTERMED,Rio Grande Do Sul,MUNICIPIO,UTI,3,1.8E7,HOSPITAL BOM PASTOR IJUI,RS,2020-12-23T00:00:00.000-02:00
2020-07-10,VYAIRE,Sergipe,ESTADO,UTI,20,1.2E8,ARACAJU  - SECRETARIA ESTADUAL DE SAÚDE,SE,2020-07-20T00:00:00.000-03:00
2020-06-26,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,1,4829000.0,SECRETARIA MUNICIPAL DE SAÚDE (CASA NOVA),BA,2020-07-01T00:00:00.000-03:00
2020-12-07,LEISTUNG,Bahia,MUNICIPIO,UTI,1,6000000.0,SMS DE SAO FELIX DO CORIBE,BA,2020-12-09T00:00:00.000-02:00
2021-03-04,KTK,Bahia,MUNICIPIO,TRANSPORTE,3,6000000.0,SMS DE CRUZ DAS ALMAS,BA,2021-03-07T00:00:00.000-03:00
2021-03-17,LIFEMED,Bahia,MUNICIPIO,UTI,2,1.2E7,SMS DE CONCEIÇÃO DO JACUÍPE,BA,2021-03-19T00:00:00.000-03:00
2020-07-24,MAGNAMED,Goias,MUNICIPIO,UTI,3,1.8E7,IDEALINA - SECRETARIA MUNICIPAL DE SAÚDE,GO,2020-08-03T00:00:00.000-03:00
2020-08-14,VYAIRE,Goias,MUNICIPIO,UTI,1,6000000.0,SMS DE SANTA CRUZ DE GOIAS,GO,2020-08-20T00:00:00.000-03:00
2020-07-31,KTK,Minas Gerais,MUNICIPIO,TRANSPORTE,2,4000000.0,SMS DE  BOM SUCESSO,MG,2020-08-07T00:00:00.000-03:00
2021-02-18,VYAIRE LTV 2200 USA,Minas Gerais,MUNICIPIO,TRANSPORTE USA,5,3.1562984E7,HOSPITAL DE CLINICAS DA UNIVERSIDADE FEDERAL DE UBERLANDIA,MG,2021-02-20T00:00:00.000-02:00
2021-04-08,LIFEMED,Minas Gerais,MUNICIPIO,UTI,5,3.0E7,UPA ARAXA,MG,2021-04-10T00:00:00.000-03:00
2020-09-21,KTK,Para,MUNICIPIO,TRANSPORTE,1,2000000.0,SMS DE PARAGOMINAS,PA,2020-09-28T00:00:00.000-03:00
2021-04-16,LIFEMED,Pernambuco,MUNICIPIO,UTI,2,1.2E7,UNIDADE DE PRONTO ATENDIMENTO MESTRE CAMARÃO,PE,2021-04-19T00:00:00.000-03:00
2020-06-26,KTK,Rio De Janeiro,MUNICIPIO,UTI,2,1.2E7,SECRETARIA MUNICIPAL DE SAÚDE (DUQUE DE CAXIAS),RJ,2020-06-30T00:00:00.000-03:00
2021-03-11,KTK,Rio De Janeiro,MUNICIPIO,TRANSPORTE,2,4000000.0,SMS DE MACUCO,RJ,2021-03-13T00:00:00.000-03:00
2020-09-11,VYAIRE,Rio Grande Do Sul,ESTADO,UTI,70,4.2E8,SES RIO GRANDE DO SUL,RS,2020-09-15T00:00:00.000-03:00
2021-03-04,KTK,Rio Grande Do Sul,MUNICIPIO,TRANSPORTE,1,2000000.0,HOSPITAL PADRE CATELLI,RS,2021-03-07T00:00:00.000-03:00
2021-03-13,KTK,São Paulo,MUNICIPIO,TRANSPORTE,4,8000000.0,SECRETARIA MUNICIPAL DE SAUDE DE UBATUBA,SP,2021-03-14T00:00:00.000-03:00
2020-05-22,MAGNAMED,Alagoas,ESTADO,TRANSPORTE,15,7.2435E7,SECRETARIA ESTADUAL DE SAÚDE,AL,2020-05-24T00:00:00.000-03:00
